registrant,client,trail4_income,n_quarters,first_seen,new_this_q,re_engaged,term_uuid,lda_public_url
J M BURKMAN & ASSOCIATES,Joseph Schwartz,960000,4,2025-Q2,False,0,b6e2b16d-d90e-4716-b127-f4ea262ae00f,https://lda.senate.gov/filings/public/filing/b6e2b16d-d90e-4716-b127-f4ea262ae00f/print/
CHECKMATE GOVERNMENT RELATIONS,MONTE VALLE ENERGY LLC,900000,4,2025-Q2,False,0,ee6c4339-70c9-47a0-9fec-053bcacc994c,https://lda.senate.gov/filings/public/filing/ee6c4339-70c9-47a0-9fec-053bcacc994c/print/
COZEN O'CONNOR PUBLIC STRATEGIES,"OFFICES OF BRADLEY WINE O/B/O REGULUS GLOBAL LLC/UEP, INC.DBA UNION TECHNOLOGIES",600000,5,2025-Q1,False,0,bfe04bed-a171-46a6-9982-500a494f8b68,https://lda.senate.gov/filings/public/filing/bfe04bed-a171-46a6-9982-500a494f8b68/print/
J M BURKMAN & ASSOCIATES,TORENCE HATCH,600000,2,2025-Q4,False,0,f9c3a194-3f90-4802-934b-f4c4753d39f0,https://lda.senate.gov/filings/public/filing/f9c3a194-3f90-4802-934b-f4c4753d39f0/print/
CHECKMATE GOVERNMENT RELATIONS,SYBERJET LLC,580000,4,2025-Q2,False,0,02223bcb-36e7-4ed7-a2a5-fa3e981c6a90,https://lda.senate.gov/filings/public/filing/02223bcb-36e7-4ed7-a2a5-fa3e981c6a90/print/
"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",Hayel Saeed Anam Group of Companies,530000,5,2025-Q1,False,0,19406a09-f0f8-490e-8d98-8f10993a3ee9,https://lda.senate.gov/filings/public/filing/19406a09-f0f8-490e-8d98-8f10993a3ee9/print/
"MILLER STRATEGIES, LLC",Fermi America,510000,3,2025-Q3,False,0,789a71a6-c589-48df-a81c-9e606fc094a6,https://lda.senate.gov/filings/public/filing/789a71a6-c589-48df-a81c-9e606fc094a6/print/
"KEYS GROUP, LLC",JBS USA,504000,17,2022-Q1,False,0,cf12c44f-08ca-45ea-99ee-bdc9fd20ac92,https://lda.senate.gov/filings/public/filing/cf12c44f-08ca-45ea-99ee-bdc9fd20ac92/print/
INVARIANT LLC,"GROQ, INC.",500000,4,2025-Q2,False,0,3f887bbb-d253-4cc4-9e9e-1cea49f9c0b1,https://lda.senate.gov/filings/public/filing/3f887bbb-d253-4cc4-9e9e-1cea49f9c0b1/print/
"CONTINENTAL STRATEGY, LLC",MGT,480000,5,2025-Q1,False,0,c5f74651-82a6-4841-acf6-824faa3d4224,https://lda.senate.gov/filings/public/filing/c5f74651-82a6-4841-acf6-824faa3d4224/print/
