quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2022-Q4,2022-12-23,Sean Casten,Democrat,IL,House,"Casten-Led Legislation Heads to President Biden’s Desk, Included in Omnibus Appropriations Funding Package",https://casten.house.gov/media/press-releases/casten-led-legislation-heads-president-bidens-desk-included-omnibus,congress_press/2022/2022-12.jsonl,1571
2022-Q4,2022-12-23,Lois Frankel,Democrat,FL,House,Rep. Frankel Votes for Federal Funding Bill that Delivers For The People,https://frankel.house.gov/news/documentsingle.aspx?DocumentID=3563,congress_press/2022/2022-12.jsonl,1621
2022-Q4,2022-12-23,Jared Huffman,Democrat,CA,House,Huffman Votes to Pass Funding Bill,https://huffman.house.gov/media-center/press-releases/12/23/2022/huffman-votes-to-pass-funding-bill,congress_press/2022/2022-12.jsonl,1639
2022-Q4,2022-12-23,Marcy Kaptur,Democrat,OH,House,"Congress Passes 2023 Federal Funding Bills, Kaptur Secures $39M for 15 Community Projects",https://kaptur.house.gov/media-center/press-releases/congress-passes-2023-federal-funding-bills-kaptur-secures-39m-15,congress_press/2022/2022-12.jsonl,1645
2022-Q4,2022-12-23,Katherine M. Clark,Democrat,MA,House,"Assistant Speaker Katherine Clark Celebrates Historic Investments in Early Education, Maternal and Veterans' Health in the Annual Funding Package",https://katherineclark.house.gov/press-releases?ID=04FA7427-F8E9-47DB-85D0-D012197A2641,congress_press/2022/2022-12.jsonl,1647
2022-Q4,2022-12-23,Jimmy Panetta,Democrat,CA,House,Rep. Panetta Advances Central Coast Priorities in the National Defense Authorization Act,https://panetta.house.gov/media/press-releases/rep-panetta-advances-central-coast-priorities-national-defense-authorization,congress_press/2022/2022-12.jsonl,1698
2022-Q4,2022-12-23,Troy A. Carter,Democrat,LA,House,Congressman Troy Carter Secures $35 Million for Southeast Louisiana Constituents in Government Funding Bill,https://troycarter.house.gov/media/press-releases/congressman-troy-carter-secures-35-million-southeast-louisiana-constituents,congress_press/2022/2022-12.jsonl,1739
2022-Q4,2022-12-23,Juan Vargas,Democrat,CA,House,Rep. Vargas Secures Nearly $35 Million for California’s 51st Congressional District in Government Funding Package,https://vargas.house.gov/media/press-releases/rep-vargas-secures-nearly-35-million-for-california-s-51st-congressional-district-in-government-funding-package,congress_press/2022/2022-12.jsonl,1744
2022-Q4,2022-12-23,Margaret Wood Hassan,Democrat,NH,Senate,SIGNED INTO LAW: Annual Defense Bill with Key Hassan-Backed Provisions,https://www.hassan.senate.gov/news/press-releases/signed-into-law-annual-defense-bill-with-key-hassan-backed-provisions,congress_press/2022/2022-12.jsonl,1751
2022-Q4,2022-12-23,Lisa Murkowski,Republican,AK,Senate,"Year-End Omnibus Supports Readiness, Security, Military Construction,  and Servicemember and Veteran Well-Being",https://www.murkowski.senate.gov/press/release/year-end-omnibus-supports-readiness-security-military-construction_and-servicemember-and-veteran-well-being,congress_press/2022/2022-12.jsonl,1760
2022-Q4,2022-12-26,Ro Khanna,Democrat,CA,House,RELEASE: RO KHANNA SECURES FUNDING FOR PROJECTS IN CA-17 AND OTHER CRITICAL INVESTMENTS IN THE GOVERNMENT FUNDING BILL,https://khanna.house.gov/media/press-releases/release-ro-khanna-secures-funding-projects-ca-17-and-other-critical-investments,congress_press/2022/2022-12.jsonl,1775
2022-Q4,2022-12-31,Lauren Boebert,Republican,CO,House,Twenty-Two Boebert Legislative Priorities Signed Into Law,https://boebert.house.gov/media/press-releases/twenty-two-boebert-legislative-priorities-signed-law,congress_press/2022/2022-12.jsonl,1897
2023-Q1,2023-01-10,Ken Calvert,Republican,CA,House,Rep. Calvert Takes Action to Confront the Chinese Communist Party,https://calvert.house.gov/media/press-releases/rep-calvert-takes-action-confront-chinese-communist-party,congress_press/2023/2023-01.jsonl,561
2023-Q1,2023-01-10,Alexandria Ocasio-Cortez,Democrat,NY,House,"Rep. AOC Secures Millions for Bronx, Queens Community Projects in Government Spending Bill",https://ocasio-cortez.house.gov/media/press-releases/rep-aoc-secures-millions-bronx-queens-community-projects-government-spending,congress_press/2023/2023-01.jsonl,618
2023-Q1,2023-01-12,Charles E. Schumer,Democrat,NY,Senate,"SCHUMER ANNOUNCES OFFICIAL OPENING OF PLUG POWER’S NEW $125 MILLION VISTA TECH PARK FACTORY CREATING OVER 1,600 NEW GOOD-PAYING JOBS & FURTHER CEMENTING CAPITAL REGION AS GLOBAL CENTER FOR CLEAN...",https://www.schumer.senate.gov/newsroom/press-releases/schumer-announces-official-opening-of-plug-powers-new-125-million-vista-tech-park-factory-creating-over-1600-new-good-paying-jobs-and-further-cementing-capital-region-as-global-center-for-clean-energy-manufacturing,congress_press/2023/2023-01.jsonl,916
2023-Q1,2023-01-20,Charles E. Schumer,Democrat,NY,Senate,"SCHUMER ANNOUNCES: GENERAL MOTORS WILL INVEST OVER $68 MILLION AT ROCHESTER MANUFACTURING PLANT, BRINGING NEW ELECTRIC VEHICLE BATTERY COMPONENT PRODUCTION, FUELING REVIVAL OF FINGER LAKES AUTO...",https://www.schumer.senate.gov/newsroom/press-releases/schumer-announces-general-motors-will-invest-over-68-million-at-rochester-manufacturing-plant-bringing-new-electric-vehicle-battery-component-production-fueling-revival-of-finger-lakes-auto-industry-and-supercharging-electric-vehicle-future,congress_press/2023/2023-01.jsonl,1289
2023-Q1,2023-01-26,Russ Fulcher,Republican,ID,House,Fulcher Announces Energy & Commerce Subcommittee Assignments,https://fulcher.house.gov/2023/01/26/id-1d303a19-7af0-46ad-be84-cd91abf960a4/,congress_press/2023/2023-01.jsonl,1664
2023-Q1,2023-01-30,Ted Cruz,Republican,TX,Senate,Sen. Cruz Reintroduces Energy Freedom Act to Make America Energy Secure Again,https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-reintroduces-energy-freedom-act-to-make-america-energy-secure-again,congress_press/2023/2023-01.jsonl,2068
2023-Q1,2023-01-30,Mark R. Warner,Democrat,VA,Senate,ICYMI: Bipartisan Senate Intelligence Committee Leaders Appear on CBS'S Face the Nation,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=E30D8334-049B-4F03-91A7-AD73CFF053E2,congress_press/2023/2023-01.jsonl,2085
2023-Q1,2023-01-31,Betty McCollum,Democrat,MN,House,McCollum Reintroduces Bill to Permanently Protect Boundary Waters from Toxic Mining Pollution,https://mccollum.house.gov/media/press-releases/mccollum-reintroduces-bill-permanently-protect-boundary-waters-toxic-mining,congress_press/2023/2023-01.jsonl,2163
2023-Q1,2023-01-31,Mariannette Miller-Meeks,Republican,IA,House,"ICYMI: Miller-Meeks Collects New Appointments, Leadership Positions in the 118th Congress",https://millermeeks.house.gov/media/press-releases/icymi-miller-meeks-collects-new-appointments-leadership-positions-118th,congress_press/2023/2023-01.jsonl,2166
2023-Q1,2023-01-31,Raul Ruiz,Democrat,CA,House,Unlocking Our Nation’s Clean Energy Future: Dr. Ruiz Spotlights Opportunities & Environmental Crisis at Salton Sea,https://ruiz.house.gov/media-center/press-releases/unlocking-our-nations-clean-energy-future-dr-ruiz-spotlights,congress_press/2023/2023-01.jsonl,2186
2023-Q1,2023-01-31,W. Gregory Steube,Republican,FL,House,Rep. Greg Steube Reintroduces Legislation to Protect America’s National Security and Counter Global Threats,https://steube.house.gov/press-releases/rep-greg-steube-reintroduces-legislation-to-protect-america-s-national-security-and-counter-global-threats/,congress_press/2023/2023-01.jsonl,2200
2023-Q1,2023-01-31,Paul Tonko,Democrat,NY,House,Tonko Re-selected to Lead Environment Committee,https://tonko.house.gov/news/documentsingle.aspx?DocumentID=3791,congress_press/2023/2023-01.jsonl,2205
2023-Q1,2023-02-01,Nanette Diaz Barragán,Democrat,CA,House,E&E News: Energy and Commerce hearing offers glimpse of future fights,https://barragan.house.gov/2023/02/01/politico-pro-energy-and-commerce-hearing-offers-glimpse-of-future-fights/,congress_press/2023/2023-02.jsonl,9
2023-Q1,2023-02-01,Pete Stauber,Republican,MN,House,Stauber Chosen by Peers as Chairman of the Subcommittee on Energy and Mineral Resources,https://stauber.house.gov/media/press-releases/stauber-chosen-peers-chairman-subcommittee-energy-and-mineral-resources,congress_press/2023/2023-02.jsonl,160
2023-Q1,2023-02-02,"Angus S. King, Jr.",Independent,ME,Senate,"King, Bipartisan Colleagues Urge Administration to Diversify Energy Storage Vision",https://www.king.senate.gov/newsroom/press-releases/king-bipartisan-colleagues-urge-administration-to-diversify-energy-storage-vision,congress_press/2023/2023-02.jsonl,430
2023-Q1,2023-02-02,"Angus S. King, Jr.",Independent,ME,Senate,"King Presses Biden Administration for More “Urgency” with Energy Storage Investments, Improve Permitting Process",https://www.king.senate.gov/newsroom/press-releases/king-presses-biden-administration-for-more-urgency-with-energy-storage-investments-improve-permitting-process,congress_press/2023/2023-02.jsonl,431
2023-Q1,2023-02-03,Nanette Diaz Barragán,Democrat,CA,House,E&E News: Republicans erase ‘environmental justice’ from documents,https://barragan.house.gov/2023/02/03/ee-news-republicans-erase-environmental-justice-from-documents/,congress_press/2023/2023-02.jsonl,465
2023-Q1,2023-02-07,Russ Fulcher,Republican,ID,House,Statement on SOTU,https://fulcher.house.gov/2023/02/07/id-1183c84b-6c3f-4fab-aa39-cb63b0821538/,congress_press/2023/2023-02.jsonl,768
2023-Q1,2023-02-07,Raul Ruiz,Democrat,CA,House,Dr. Ruiz Statement on President Biden’s 2023 State of the Union Address,https://ruiz.house.gov/media-center/press-releases/dr-ruiz-statement-president-bidens-2023-state-union-address,congress_press/2023/2023-02.jsonl,843
2023-Q1,2023-02-07,Charles E. Schumer,Democrat,NY,Senate,SCHUMER WILL BRING BINGHAMTON’S DR. STAN WHITTINGHAM TO STATE OF THE UNION; AFTER DELIVERING $63+M TO HELP MAKE SOUTHERN TIER AND UPSTATE NY THE NATION’S NEXT MAJOR BATTERY RESEARCH & MANUFACTURING...,https://www.schumer.senate.gov/newsroom/press-releases/schumer-will-bring-binghamtons-dr-stan-whittingham-to-state-of-the-union-after-delivering-63m-to-help-make-southern-tier-and-upstate-ny-the-nations-next-major-battery-research-and-manufacturing-hub_senator-says-leaders-like-dr-whittingham-show-binghamton-is-ready-to-power-the-future-of-american-battery-innovation,congress_press/2023/2023-02.jsonl,909
2023-Q1,2023-02-07,Dan Sullivan,Republican,AK,Senate,SPEECH: Sen. Dan Sullivan Addresses the Alaska Legislature,https://www.sullivan.senate.gov/newsroom/speeches/speech-sen-dan-sullivan-addresses-the-alaska-legislature-2023,congress_press/2023/2023-02.jsonl,921
2023-Q1,2023-02-08,"Eric A. ""Rick"" Crawford",Republican,AR,House,Arkansas Delegation to DOE: Why Was Chinese Company Awarded Federal Grant?,https://crawford.house.gov/media/press-releases/arkansas-delegation-to-doe-why-was-chinese-company-awarded-federal-grant,congress_press/2023/2023-02.jsonl,953
2023-Q1,2023-02-08,Tom Cotton,Republican,AR,Senate,Arkansas Delegation to DOE: Why Was Chinese Company Awarded Federal Grant?,https://www.cotton.senate.gov/news/press-releases/arkansas-delegation-to-doe-why-was-chinese-company-awarded-federal-grant,congress_press/2023/2023-02.jsonl,1030
2023-Q1,2023-02-08,Lisa Murkowski,Republican,AK,Senate,"Murkowski, Sullivan Lead Effort to Lift Outdated PLOs, Remove Barriers to Public Land Access in Alaska",https://www.murkowski.senate.gov/press/release/murkowski-sullivan-lead-effort-to-lift-outdated-plos-remove-barriers-to-public-land-access-in-alaska_-,congress_press/2023/2023-02.jsonl,1045
2023-Q1,2023-02-08,Dan Sullivan,Republican,AK,Senate,"Murkowski, Sullivan Lead Effort to Lift Outdated PLOs, Remove Barriers to Public Land Access in Alaska",https://www.sullivan.senate.gov/newsroom/press-releases/murkowski-sullivan-lead-effort-to-lift-outdated-plos-remove-barriers-to-public-land-access-in-alaska_,congress_press/2023/2023-02.jsonl,1050
2023-Q1,2023-02-08,Dan Sullivan,Republican,AK,Senate,Sullivan Highlights Work to Revitalize State Economy in Annual Address to Alaska Legislature,https://www.sullivan.senate.gov/newsroom/press-releases/sullivan-highlights-work-to-revitalize-state-economy-in-annual-address-to-alaska-legislature,congress_press/2023/2023-02.jsonl,1051
2023-Q1,2023-02-09,Nanette Diaz Barragán,Democrat,CA,House,"Barragán, Carter Introduce Bill Ensuring Copay Assistance Counts for Patients",https://barragan.house.gov/2023/02/09/barragan-carter-introduce-bill-ensuring-copay-assistance-counts-for-patients/,congress_press/2023/2023-02.jsonl,1061
2023-Q1,2023-02-09,Nanette Diaz Barragán,Democrat,CA,House,Barragán & Clarke Reintroduce Energy Resilient Communities Act to Protect Critical Facilities During Power Outages and Fight the Climate Crisis,https://barragan.house.gov/2023/02/09/barragan-clarke-reintroduce-energy-resilient-communities-act-to-protect-critical-facilities-during-power-outages-and-fight-the-climate-crisis-2/,congress_press/2023/2023-02.jsonl,1062
2023-Q1,2023-02-09,Melanie A. Stansbury,Democrat,NM,House,Rep. Stansbury Calls for Bipartisan Action on Climate Change and Sustainable Critical Minerals Solutions During First Natural Resources Oversight Subcommittee Hearing as Ranking Member,https://stansbury.house.gov/media/press-releases/rep-stansbury-calls-bipartisan-action-climate-change-and-sustainable-critical,congress_press/2023/2023-02.jsonl,1161
2023-Q1,2023-02-09,Susie Lee,Democrat,NV,House,Congresswoman Lee Announces Appointment to House Natural Resources Committee,https://susielee.house.gov/media/press-releases/congresswoman-lee-announces-appointment-house-natural-resources-committee,congress_press/2023/2023-02.jsonl,1165
2023-Q1,2023-02-09,John Boozman,Republican,AR,Senate,Arkansas Delegation to DOE: Why Was Chinese Company Awarded Federal Grant?,https://www.boozman.senate.gov/public/index.cfm/press-releases?ID=2F2F16C2-EB1E-42E4-9539-FB0F21ADDB44,congress_press/2023/2023-02.jsonl,1184
2023-Q1,2023-02-09,John Hoeven,Republican,ND,Senate,"Hoeven Working to Ensure Development of Taxpayer-Owned Energy Resources, Advance U.S. Energy Security",https://www.hoeven.senate.gov/news/news-releases/hoeven-working-to-ensure-development-of-taxpayer-owned-energy-resources-advance-us-energy-security,congress_press/2023/2023-02.jsonl,1199
2023-Q1,2023-02-10,John Barrasso,Republican,WY,Senate,Barrasso: China Benefits from Biden’s War on American Energy,https://www.barrasso.senate.gov/newsroom-news-releases-barrasso-china-benefits-from-bidens-war-on-american-energy/,congress_press/2023/2023-02.jsonl,1454
2023-Q1,2023-02-13,Pete Stauber,Republican,MN,House,Stauber Joins Western Caucus Podcast to Discuss Mining,https://stauber.house.gov/media/press-releases/stauber-joins-western-caucus-podcast-discuss-mining,congress_press/2023/2023-02.jsonl,1545
2023-Q1,2023-02-13,Gary C. Peters,Democrat,MI,Senate,PHOTOS: Peters Tours Our Next Energy Inc. & Highlights How the Inflation Reduction Act Strengthens Domestic Supply Chains for Electric Vehicles,https://www.peters.senate.gov/newsroom/press-releases/photos-peters-tours-our-next-energy-inc-and-highlights-how-the-inflation-reduction-act-strengthens-domestic-supply-chains-for-electric-vehicles,congress_press/2023/2023-02.jsonl,1574
2023-Q1,2023-02-14,Nanette Diaz Barragán,Democrat,CA,House,"Barragán, Jayapal, Nadler Call for Robust Funding of Pilot Program to Assist Immigrants in Legal Proceedings",https://barragan.house.gov/2023/02/14/barragan-jayapal-nadler-call-for-robust-funding-of-pilot-program-to-assist-immigrants-in-legal-proceedings/,congress_press/2023/2023-02.jsonl,1581
2023-Q1,2023-02-22,John Hoeven,Republican,ND,Senate,Hoeven: Packet Digital Facility Places North Dakota at the Center of Navy UAS Supply Chain,https://www.hoeven.senate.gov/news/news-releases/hoeven-packet-digital-facility-places-north-dakota-at-the-center-of-navy-uas-supply-chain,congress_press/2023/2023-02.jsonl,2148
2023-Q1,2023-02-23,Doris O. Matsui,Democrat,CA,House,"MATSUI, CITY OF SACRAMENTO ANNOUNCE $1.97 MILLION OF FEDERAL FUNDING FOR PANNELL COMMUNITY CENTER",https://matsui.house.gov/media/press-releases/matsui-city-sacramento-announce-197-million-federal-funding-pannell-community,congress_press/2023/2023-02.jsonl,2193
2023-Q1,2023-02-23,Pete Stauber,Republican,MN,House,"Stauber Demands Answers on Biden Administration Mining Agreement with the Congo, Zambia",https://stauber.house.gov/media/press-releases/stauber-demands-answers-biden-administration-mining-agreement-congo-zambia,congress_press/2023/2023-02.jsonl,2204
2023-Q1,2023-02-27,Sharice Davids,Democrat,KS,House,"Davids Hosts Transportation Secretary Buttigieg in De Soto to Highlight Panasonic Job Creation, Clean Energy Investments",https://davids.house.gov/media/press-releases/davids-hosts-transportation-secretary-buttigieg-de-soto-highlight-panasonic-job,congress_press/2023/2023-02.jsonl,2384
2023-Q1,2023-02-27,Charles E. Schumer,Democrat,NY,Senate,"SCHUMER ANNOUNCES ROCHESTER’S LI-CYCLE AWARDED GAMECHANGING $375 MILLION DEPARTMENT OF ENERGY LOAN – CREATING 270 GOOD PAYING ROCHESTER JOBS AND 1,000 CONSTRUCTION JOBS - TO POWER FINGER LAKES AS...",https://www.schumer.senate.gov/newsroom/press-releases/schumer-announces-rochesters-li-cycle-awarded-gamechanging-375-million-department-of-energy-loan_creating-270-good-paying-rochester-jobs-and-1000-construction-jobs---to-power-finger-lakes-as-global-battery-hub,congress_press/2023/2023-02.jsonl,2456
2023-Q1,2023-02-28,Nanette Diaz Barragán,Democrat,CA,House,"Barragán, Bonamici, Bush, and Garcia Announce the Congressional Caucus on Homelessness",https://barragan.house.gov/2023/02/28/barragan-bonamici-bush-and-garcia-announce-the-congressional-caucus-on-homelessness/,congress_press/2023/2023-02.jsonl,2473
2023-Q1,2023-03-01,Dusty Johnson,Republican,SD,House,Johnson Questions CCP Involvement in Global Food Sector,https://dustyjohnson.house.gov/media/press-releases/johnson-questions-ccp-involvement-global-food-sector,congress_press/2023/2023-03.jsonl,32
2023-Q1,2023-03-01,John Joyce,Republican,PA,House,"Joyce Legislation to Streamline Energy Permitting Passes Subcommittee on Environment, Manufacturing, & Critical Materials",https://johnjoyce.house.gov/media/press-releases/joyce-legislation-streamline-energy-permitting-passes-subcommittee-environment,congress_press/2023/2023-03.jsonl,58
2023-Q1,2023-03-02,Nydia M. Velázquez,Democrat,NY,House,Velázquez Calls on CBP to Curb Imports of Dangerous Lithium-Ion Batteries to Protect Delivery Workers,https://velazquez.house.gov/media-center/press-releases/vel-zquez-calls-cbp-curb-imports-dangerous-lithium-ion-batteries-protect,congress_press/2023/2023-03.jsonl,245
2023-Q1,2023-03-02,John Thune,Republican,SD,Senate,Thune: Energy Security is National Security,https://www.thune.senate.gov/public/index.cfm/press-releases?ID=1C4AC5AF-AF53-49C0-B1B3-ACA793BB9369,congress_press/2023/2023-03.jsonl,278
2023-Q1,2023-03-06,Nanette Diaz Barragán,Democrat,CA,House,Barragán and Cardin Reintroduce the Medicaid Dental Benefit Act,https://barragan.house.gov/2023/03/06/barragan-and-cardin-reintroduce-the-medicaid-dental-benefit-act/,congress_press/2023/2023-03.jsonl,389
2023-Q1,2023-03-06,Pete Stauber,Republican,MN,House,"Stauber, Republicans Deliver Solutions to Lower Energy Costs, Update Permitting Process, Unlock Mineral Resources",https://stauber.house.gov/media/press-releases/stauber-republicans-deliver-solutions-lower-energy-costs-update-permitting,congress_press/2023/2023-03.jsonl,424
2023-Q1,2023-03-07,Mike Thompson,Democrat,CA,House,Thompson Honored with Public Service Award by American Public Power Association,https://mikethompson.house.gov/newsroom/press-releases/thompson-honored-public-service-award-american-public-power-association,congress_press/2023/2023-03.jsonl,535
2023-Q1,2023-03-08,"Angus S. King, Jr.",Independent,ME,Senate,"“You’d Think We Would Learn,” King Presses Intelligence Chiefs on Urgency of Reducing Dependence on China",https://www.king.senate.gov/newsroom/press-releases/youd-think-we-would-learn-king-presses-intelligence-chiefs-on-urgency-of-reducing-dependence-on-china,congress_press/2023/2023-03.jsonl,704
2023-Q1,2023-03-08,Christopher Murphy,Democrat,CT,Senate,Murphy Chairs Hearing on Geopolitical Competition and Energy Security in Central Asia,https://www.murphy.senate.gov/newsroom/press-releases/murphy-chairs-hearing-on-geopolitical-competition-and-energy-security-in-central-asia,congress_press/2023/2023-03.jsonl,711
2023-Q1,2023-03-09,Rick W. Allen,Republican,GA,House,"Rep. Allen votes to unleash American energy, secure supply chain",https://allen.house.gov/news/documentsingle.aspx?DocumentID=5578,congress_press/2023/2023-03.jsonl,731
2023-Q1,2023-03-09,Harriet M. Hageman,Republican,WY,House,Hageman Votes to Advance TAPP American Resources Act in Committee,https://hageman.house.gov/media/press-releases/hageman-votes-advance-tapp-american-resources-act-committee,congress_press/2023/2023-03.jsonl,807
2023-Q1,2023-03-10,Melanie A. Stansbury,Democrat,NM,House,Rep. Stansbury Defends Public Lands from Mining Pollution,https://stansbury.house.gov/media/press-releases/rep-stansbury-defends-public-lands-mining-pollution,congress_press/2023/2023-03.jsonl,1052
2023-Q1,2023-03-13,Gus M. Bilirakis,Republican,FL,House,Energy and Commerce Republicans Demand Accountability,https://bilirakis.house.gov/media/press-releases/energy-and-commerce-republicans-demand-accountability,congress_press/2023/2023-03.jsonl,1112
2023-Q1,2023-03-14,Ashley Hinson,Republican,IA,House,"LETTER: Hinson to Secretary Granholm: The CCP's Climate Farce Needs to be Exposed by U.S. Officials, Not Parroted By Them",https://hinson.house.gov/media/press-releases/letter-hinson-secretary-granholm-ccps-climate-farce-needs-be-exposed-us,congress_press/2023/2023-03.jsonl,1206
2023-Q1,2023-03-14,Steve Scalise,Republican,LA,House,"Scalise Makes American Energy a Priority, Introduces the Lower Energy Costs Act",https://scalise.house.gov/press-releases/Scalise-Makes-American-Energy-a-Priority%2C-Introduces-the-Lower-Energy-Costs-Act,congress_press/2023/2023-03.jsonl,1236
2023-Q1,2023-03-14,David Schweikert,Republican,AZ,House,"Schweikert, Stanton Introduce Legislation Expanding Affordable Pumped-Storage Hydropower in Arizona",https://schweikert.house.gov/2023/03/14/schweikert-stanton-introduce-legislation-expanding-affordable-pumped-storage-hydropower-in-arizona/,congress_press/2023/2023-03.jsonl,1237
2023-Q1,2023-03-14,David G. Valadao,Republican,CA,House,Congressman Valadao Applauds Introduction of the Lower Energy Costs Act,https://valadao.house.gov/news/documentsingle.aspx?DocumentID=567,congress_press/2023/2023-03.jsonl,1251
2023-Q1,2023-03-15,Dan Sullivan,Republican,AK,Senate,"Sullivan: Before Willow Approval, I Asked President Biden: How Can You Lift Sanctions On Venezuela and Not Let Alaska Produce?",https://www.sullivan.senate.gov/newsroom/press-releases/sullivan-before-willow-approval-i-asked-president-biden-how-can-you-lift-sanctions-on-venezuela-and-not-let-alaska-produce,congress_press/2023/2023-03.jsonl,1392
2023-Q1,2023-03-16,"Earl L. ""Buddy"" Carter",Republican,GA,House,"Carter bill to boost domestic critical mineral processing included in H.R. 1, the House’s top legislative priority",https://buddycarter.house.gov/news/documentsingle.aspx?DocumentID=11031,congress_press/2023/2023-03.jsonl,1405
2023-Q1,2023-03-16,"Angus S. King, Jr.",Independent,ME,Senate,King Sees Strategic “Opening” in Africa After China’s Broken Promises Strain Ties,https://www.king.senate.gov/newsroom/press-releases/king-sees-strategic-opening-in-africa-after-chinas-broken-promises-strain-ties,congress_press/2023/2023-03.jsonl,1474
2023-Q1,2023-03-17,Nydia M. Velázquez,Democrat,NY,House,Velázquez Introduces Bill to Curb Deadly Lithium-Ion Battery Fires,https://velazquez.house.gov/media-center/press-releases/velazquez-introduces-bill-curb-deadly-lithium-ion-battery-fires,congress_press/2023/2023-03.jsonl,1556
2023-Q1,2023-03-22,Jerry Moran,Republican,KS,Senate,VIDEO: Sen. Moran Gives Foreign Policy Speech on Fortifying the U.S. from Threats from China,https://www.moran.senate.gov/public/index.cfm/news-releases?ID=B97F647A-9263-426A-8270-699E23942E3F,congress_press/2023/2023-03.jsonl,1858
2023-Q1,2023-03-22,Gary C. Peters,Democrat,MI,Senate,Peters Report Finds Continued Shortages of Medications Present Significant Health and National Security Risk,https://www.peters.senate.gov/newsroom/press-releases/peters-report-finds-continued-shortages-of-medications-present-significant-health-and-national-security-risk,congress_press/2023/2023-03.jsonl,1864
2023-Q1,2023-03-23,Randy Feenstra,Republican,IA,House,"Feenstra, Stevens Introduce Legislation to Streamline Fertilizer Production and Apply the Power of Quantum Computing to Main Street America",https://feenstra.house.gov/media/press-releases/feenstra-stevens-introduce-legislation-streamline-fertilizer-production-and,congress_press/2023/2023-03.jsonl,1922
2023-Q1,2023-03-23,Carol D. Miller,Republican,WV,House,Rep. Miller Introduces Amendment to H.R. 1 to Complete Mountain Valley Pipeline,https://miller.house.gov/media/press-releases/rep-miller-introduces-amendment-hr-1-complete-mountain-valley-pipeline,congress_press/2023/2023-03.jsonl,1956
2023-Q1,2023-03-23,Greg Stanton,Democrat,AZ,House,"Stanton, Titus Bill Would Protect Wheelchair Users on Airplanes",https://stanton.house.gov/2023/3/stanton-titus-bill-would-protect-wheelchair-users-on-airplanes,congress_press/2023/2023-03.jsonl,1982
2023-Q1,2023-03-23,Charles E. Schumer,Democrat,NY,Senate,"FOLLOWING HIS PUSH, SCHUMER ANNOUNCES FEDS RELEASE ROADMAP FOR GAME CHANGING CHIPS & SCIENCE ACT’S INVESTMENT TAX CREDIT – TO GET SHOVELS IN THE GROUND AND BOOST SEMICONDUCTOR INDUSTRY JOBS IN UPSTATE...",https://www.schumer.senate.gov/newsroom/press-releases/following-his-push-schumer-announces-feds-release-roadmap-for-game-changing-chips-and-science-acts-investment-tax-credit_to-get-shovels-in-the-ground-and-boost-semiconductor-industry-jobs-in-upstate-ny,congress_press/2023/2023-03.jsonl,2041
2023-Q1,2023-03-27,Carol D. Miller,Republican,WV,House,"Congresswoman Miller Discuss Mountain Valley Pipeline with Congressional Western Caucus, Equitrans CEO",https://miller.house.gov/media/press-releases/congresswoman-miller-discuss-mountain-valley-pipeline-congressional-western,congress_press/2023/2023-03.jsonl,2239
2023-Q1,2023-03-27,Todd Young,Republican,IN,Senate,Young Introduces Bill to Develop Innovative Materials Critical to Our National Security,https://www.young.senate.gov/newsroom/press-releases/young-introduces-bill-to-develop-innovative-materials-critical-to-our-national-security/,congress_press/2023/2023-03.jsonl,2294
2023-Q1,2023-03-28,Harold Rogers,Republican,KY,House,Congressman Rogers Announces 2023 Congressional Art Competition,https://halrogers.house.gov/press-releases?ID=4BDCBD0D-1403-453A-AC2E-372D2F9CAB75,congress_press/2023/2023-03.jsonl,2342
2023-Q1,2023-03-28,Richard E. Neal,Democrat,MA,House,"Neal, Wyden Statement on Biden Administration’s Go-It-Alone Trade Action",https://neal.house.gov/2023/03/28/news-documentsingle-aspx-documentid-3708/,congress_press/2023/2023-03.jsonl,2367
2023-Q1,2023-03-28,Guy Reschenthaler,Republican,PA,House,Reschenthaler Grills Biden’s Interior Secretary on Green New Deal Agenda Deepening America’s Dependence on China,https://reschenthaler.house.gov/media/press-releases/reschenthaler-grillsbidens-interior-secretary-on-green-new-deal-agenda-deepening-americas-dependence-on-china,congress_press/2023/2023-03.jsonl,2379
2023-Q1,2023-03-28,Guy Reschenthaler,Republican,PA,House,"Reschenthaler Manages Rule Debate on H.R. 1, the Lower Energy Costs Act",https://reschenthaler.house.gov/media/press-releases/reschenthaler-manages-rule-debate-on-hr-1-the-lower-energy-costs-act,congress_press/2023/2023-03.jsonl,2380
2023-Q1,2023-03-28,Steve Scalise,Republican,LA,House,Scalise Participates in Roundtable Discussion on Lower Energy Costs Act,https://scalise.house.gov/press-releases/ScaliseParticipates-in-Roundtable-Discussion-on-Lower-Energy-Costs-Act,congress_press/2023/2023-03.jsonl,2388
2023-Q1,2023-03-28,Paul Tonko,Democrat,NY,House,Tonko Leads Hearing on Response to East Palestine Train Derailment,https://tonko.house.gov/news/documentsingle.aspx?DocumentID=3835,congress_press/2023/2023-03.jsonl,2397
2023-Q1,2023-03-28,Ryan K. Zinke,Republican,MT,House,Congressman Zinke Grills Biden’s Interior Secretary Haaland,https://zinke.house.gov/media/press-releases/congressman-zinke-grills-bidens-interior-secretary-haaland,congress_press/2023/2023-03.jsonl,2450
